timestamp,protocol,bitrate,statistic,bandwidth,jitter,packet_loss
2025-03-14T13:11:32.967587,TCP,10M,,396.8107013288878,,
2025-03-14T13:11:43.064721,TCP,10M,,430.9764595870833,,
2025-03-14T13:11:53.175546,TCP,10M,,440.62532741975684,,
2025-03-14T13:12:03.278037,TCP,10M,,371.8447919271279,,
2025-03-14T13:12:13.398010,TCP,10M,,436.6589382914115,,
2025-03-14T13:12:23.496287,TCP,10M,,433.426879983874,,
2025-03-14T13:12:33.619344,TCP,10M,,345.87358347398737,,
2025-03-14T13:12:43.726058,TCP,10M,,387.7955895065265,,
2025-03-14T13:12:53.816708,TCP,10M,,423.97871448435507,,
2025-03-14T13:13:03.916881,TCP,10M,,441.467325015392,,
,,,,,,
Summary,TCP,10M,min,345.87358347398737,,
Summary,TCP,10M,max,441.467325015392,,
Summary,TCP,10M,avg,410.9458311018402,,
Summary,TCP,10M,std,33.41506964572461,,
